"File","Line","Column","ErrorCode","Message"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\IdleState.cs","43","13","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","336","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","341","13","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\IdleState.cs","55","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\IdleState.cs","61","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\IdleState.cs","67","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationEvents\IAnimationEventReceiver.cs","237","17","CS0234","The type or namespace name 'ModernLoggingSystem' does not exist in the namespace 'SASZombieAssaultTD.Engine.Utility' (are you missing an assembly reference?) [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","348","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","354","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","363","13","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","370","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","377","21","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","383","13","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AttackState.cs","41","13","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AttackState.cs","48","13","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","390","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","397","13","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AttackState.cs","67","28","CS1061","'JumpState' does not contain a definition for 'IsJumping' and no accessible extension method 'IsJumping' accepting a first argument of type 'JumpState' could be found (are you missing a using directive or an assembly reference?) [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AttackState.cs","69","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AttackState.cs","75","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AttackState.cs","81","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","414","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","422","31","CS1061","'AnimationStateMachine' does not contain a definition for 'ForceTransition' and no accessible extension method 'ForceTransition' accepting a first argument of type 'AnimationStateMachine' could be found (are you missing a using directive or an assembly reference?) [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","424","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","431","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AnimationStateVisualization.cs","176","21","CS0234","The type or namespace name 'ModernLoggingSystem' does not exist in the namespace 'SASZombieAssaultTD.Engine.Utility' (are you missing an assembly reference?) [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","443","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","457","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","469","13","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","480","13","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationEvents\AnimationEventTrack.cs","44","13","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","490","47","CS1061","'AnimationEventDispatcher' does not contain a definition for 'ProcessEvents' and no accessible extension method 'ProcessEvents' accepting a first argument of type 'AnimationEventDispatcher' could be found (are you missing a using directive or an assembly reference?) [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","500","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","534","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
